20181127 800  610 11120 130034 1 12AKI3
201811271200  690 11060 130074 1 12AKI3
201811271500  620 11100 130033 1 12AKI3
201811272000  680 11070 130074 1 12AKI3
201811272300  620 11110 130014 1 12AKI3
20181128 300  670 11140 130053 1 12AKI3
20181128 700  590 11090 130053 1 12AKI3
201811281200  510 11030 130053 1 12AKI3
201811281500  450 10980 130053 1 12AKI3
201811282000  380 10900 130063 1 12AKI3
201811282300  320 10840 130053 1 12AKI3
20181129 300  270 10780 130053 1 12AKI3
20181129 800  210 10720 130052 1 12AKI3
201811291200  160 10670 130063 1 12AKI3
201811291500  140 10630 130063 1 12AKI3
201811292000  120 10570 130062 1 12AKI3
201811292300  130 10530 130062 1 12AKI3
201811301200  140 10470 130000 1 12AKI3
201811301500  120 10470 130000 1 12AKI3
201811302000  140 10470 130000 1 12AKI3
201811302300  140 10470 130000 1 12AKI3
201811 1 600 4210 34660 130053 1 12AKI4
201811 1 800 4180 34620 130053 1 12AKI4
201811 11500 4090 34450 130053 1 12AKI4
201811 12200 4010 34300 130053 1 12AKI4
201811 2 300 3930 34180 130053 1 12AKI4
201811 2 700 3890 34090 130053 1 12AKI4
201811 2 800 3870 34070 130053 1 12AKI4
201811 22300 3780 33710 130062 1 12AKI4
201811 3 400 3770 33610 130062 1 12AKI4
201811 3 700 3760 33550 130062 1 12AKI4
201811 31000 3760 33510 130061 1 12AKI4
201811 32100 3760 33400 130072 1 12AKI4
201811 4 400 3760 33410 130032 1 12AKI4
201811 4 700 3750 33460 130022 1 12AKI4
201811 41600 3700 33340 130053 1 12AKI4
201811 42000 3650 33260 130053 1 12AKI4
201811 5   0 3600 33180 130053 1 12AKI4
201811 5 500 3530 33090 130053 1 12AKI4
201811 5 700 3500 33040 130053 1 12AKI4
201811 51600 3370 32840 130053 1 12AKI4
201811 52000 3320 32770 130053 1 12AKI4
201811 6   0 3260 32700 130053 1 12AKI4
201811 6 400 3200 32610 130053 1 12AKI4
201811 6 800 3170 32560 130053 1 12AKI4
201811 61200 3100 32460 130053 1 12AKI4
201811 61700 3030 32370 130053 1 12AKI4
201811 7 100 2910 32210 130053 1 12AKI4
201811 7 500 2850 32130 130053 1 12AKI4
201811 8 200 2570 31740 130053 1 12AKI4
201811 8 600 2520 31670 130053 1 12AKI4
201811 8 900 2470 31610 130053 1 12AKI4
201811 81800 2340 31450 130053 1 12AKI4
201811 9 200 2230 31310 130053 1 12AKI4
201811 9 700 2170 31220 130053 1 12AKI4
201811 91400 2070 31090 130053 1 12AKI4
201811 91800 2020 31020 130053 1 12AKI4
20181110 900 1810 30760 130053 1 12AKI4
201811101400 1760 30700 130053 1 12AKI4
20181111 200 1600 30500 130053 1 12AKI4
20181111 700 1540 30430 130053 1 12AKI4
20181111 900 1510 30390 130053 1 12AKI4
201811111800 1410 30270 130052 1 12AKI4
20181112 800 1290 30110 130052 1 12AKI4
201811121100 1260 30080 130052 1 12AKI4
201811121500 1210 30030 130052 1 12AKI4
201811122000 1170 29970 130052 1 12AKI4
20181114 700 1020 29830 130000 1 12AKI4
20181118 400 1120 29900 130064 1 12AKI4
20181118 800 1200 30000 130014 1 12AKI4
201811181800 1420 30230 130014 1 12AKI4
201811182300 1540 30340 130014 1 12AKI4
20181119 200 1610 30410 130054 1 12AKI4
20181119 600 1700 30500 130014 1 12AKI4
201811191800 1990 30760 130014 1 12AKI4
20181120 300 2210 30970 130014 1 12AKI4
20181120 700 2310 31070 130014 1 12AKI4
201811201800 2570 31320 130014 1 12AKI4
20181121 200 2770 31520 130014 1 12AKI4
20181121 500 2840 31600 130014 1 12AKI4
20181122 100 3330 32100 130014 1 12AKI4
20181122 600 3450 32240 130015 1 12AKI4
20181123   0 3910 32750 130014 1 12AKI4
20181123 500 4020 32900 130014 1 12AKI4
201811231300 4140 33200 130014 1 12AKI4
201811231600 4180 33320 130014 1 12AKI4
20181124 500 4380 33820 130014 1 12AKI4
201811241300 4500 34140 130014 1 12AKI4
20181125 400 4730 34780 130014 1 12AKI4
20181125 600 4760 34870 130014 1 12AKI4
201811281500 5150   150 130000 1 12AKI4
20181129 300 5150   150 130000 1 12AKI4
201811291500 5150   150 130000 1 12AKI4
20181130 300 5150   150 130000 1 12AKI4
201811301500 5150   150 130000 1 12AKI4
201811 1   0 6140   140 130000 1 12ARS4
201811 1 600 6140   140 130000 1 12ARS4
201811 2   0 6140   140 130000 1 12ARS4
201811 2 600 6140   140 130000 1 12ARS4
201811 21800 6140   140 130000 1 12ARS4
201811 3   0 6140   140 130000 1 12ARS4
201811 3 600 6140   110 130052 1 12ARS4
201811 4   0 6030    70 130051 1 12ARS4
201811 4 600 6010   100 130000 1 12ARS4
201811 5   0 6050 35960 130013 1 12ARS4
201811 51800 6140   140 130000 1 12ARS4
201811 6   0 6140   140 130000 1 12ARS4
201811 6 600 6140   140 130000 1 12ARS4
201811 61800 6140   140 130000 1 12ARS4
201811 7   0 6140   140 130000 1 12ARS4
201811 7 600 6140   140 130000 1 12ARS4
201811 8   0 6140   140 130000 1 12ARS4
201811 8 600 6140   140 130000 1 12ARS4
201811 9   0 6140   140 130000 1 12ARS4
201811 9 600 6140   140 130000 1 12ARS4
20181110   0 6120    30 130052 1 12ARS4
20181111   0 6050    40 130013 1 12ARS4
201811111300 6140   140 130000 1 12ARS4
201811111800 6140   140 130000 1 12ARS4
20181112 600 6140   140 130000 1 12ARS4
201811121200 6140   140 130000 1 12ARS4
201811121800 6140   140 130000 1 12ARS4
20181113 700 6140   140 130000 1 12ARS4
201811131200 6140   140 130000 1 12ARS4
201811131800 6140   140 130000 1 12ARS4
20181114 700 6140   140 130000 1 12ARS4
201811141800 6140   140 130000 1 12ARS4
201811142300 6140   140 130000 1 12ARS4
20181115 600 6140   140 130000 1 12ARS4
20181116 600 6140   140 130000 1 12ARS4
201811161200 6140   140 130000 1 12ARS4
201811171200 6140   140 130000 1 12ARS4
201811171700 6140   140 130000 1 12ARS4
20181118 600 6140   140 130000 1 12ARS4
20181119 600 6140   140 130000 1 12ARS4
20181120 600 6140   140 130000 1 12ARS4
201811 11300 6080   170 130031 1 12AUO5
201811 21400 6080   170 130061 1 12AUO5
201811251600 6060   160 130081 1 12AUO5
201811261600 6060   160 130081 1 12AUO5
201811281600 6060   160 130031 1 12AUO5
201811291600 6060   160 130031 1 12AUO5
201811 1 100-3080 32410 130000 1 12FGX5
201811 1 600-3070 32410 130000 1 12FGX5
201811 11800-3000 32380 130021 1 12FGX5
201811 2 600-3090 32390 130052 1 12FGX5
201811 21800-3100 32410 130051 1 12FGX5
201811 3 600-3100 32410 130000 1 12FGX5
201811 31200-3080 32420 130042 1 12FGX5
201811 31800-3070 32410 130000 1 12FGX5
201811 4   0-3080 32400 130000 1 12FGX5
201811 4 600-3080 32420 130082 1 12FGX5
201811 41200-3060 32430 130000 1 12FGX5
201811 5   0-3060 32430 130000 1 12FGX5
201811 5 600-3060 32440 130000 1 12FGX5
201811 51800-3070 32430 130000 1 12FGX5
201811 6   0-3060 32440 130000 1 12FGX5
201811 6 600-3000 32330 130073 1 12FGX5
201811 61200-2930 32210 130073 1 12FGX5
201811 7   0-2790 31950 130073 1 12FGX5
201811 7 600-2790 31840 130073 1 12FGX5
201811 71200-2650 31720 130073 1 12FGX5
201811 71800-2580 31620 130073 1 12FGX5
201811 8   0-2490 31500 130073 1 12FGX5
201811131800-2500 31330 130073 1 12FGX5
20181114   0-2620 31280 130043 1 12FGX5
201811141200-2830 31180 130053 1 12FGX5
201811141800-2940 31120 130053 1 12FGX5
20181115   0-3050 31060 130053 1 12FGX5
201811151200-3230 30960 130052 1 12FGX5
201811151800-3310 30920 130052 1 12FGX5
20181116   0-3410 30870 130052 1 12FGX5
20181116 600-3480 30830 130052 1 12FGX5
201811161200-3550 30790 130052 1 12FGX5
201811161800-3610 30740 130052 1 12FGX5
20181117   0-3680 30650 130052 1 12FGX5
20181117 600-3770 30560 130053 1 12FGX5
201811171200-3880 30490 130053 1 12FGX5
201811171800-3970 30410 130053 1 12FGX5
20181118   0-4060 30340 130052 1 12FGX5
201811181200-4210 30220 130052 1 12FGX5
201811181800-4280 30150 130052 1 12FGX5
20181119   0-4370 30080 130052 1 12FGX5
20181119 600-4450 30010 130052 1 12FGX5
201811191200-4550 29920 130053 1 12FGX5
201811191800-4630 29840 130052 1 12FGX5
20181120 600-4820 29670 130053 1 12FGX5
201811201200-4920 29580 130053 1 12FGX5
201811201800-5000 29490 130053 1 12FGX5
20181121   0-5110 29390 130053 1 12FGX5
201811291200-5280 28350 130062 1 12FGX5
20181130   0-5320 28100 130062 1 12FGX5
201811301200-5360 27890 130062 1 12FGX5
201811 1 400-1210 33810 130033 1 12HCH5
201811 1 800-1260 33880 130033 1 12HCH5
201811 11200-1310 33940 130033 1 12HCH5
201811 11500-1350 33990 130033 1 12HCH5
201811 12000-1420 34090 130033 1 12HCH5
201811 2 100-1470 34150 130033 1 12HCH5
201811 2 300-1500 34180 130033 1 12HCH5
201811 2 800-1570 34270 130033 1 12HCH5
201811 21200-1620 34330 130033 1 12HCH5
201811 21500-1650 34380 130033 1 12HCH5
201811 21900-1710 34460 130033 1 12HCH5
201811 22300-1760 34530 130033 1 12HCH5
201811 3 200-1800 34580 130033 1 12HCH5
201811 3 700-1860 34670 130033 1 12HCH5
201811 31100-1910 34740 130033 1 12HCH5
201811 31400-1950 34790 130033 1 12HCH5
201811 31500-1960 34810 130033 1 12HCH5
201811 31900-2010 34880 130033 1 12HCH5
201811 32300-2070 34960 130033 1 12HCH5
201811 4 200-2100 35010 130033 1 12HCH5
201811 41100-2210 35170 130033 1 12HCH5
201811 41400-2250 35230 130033 1 12HCH5
201811 42300-2360 35400 130033 1 12HCH5
201811 5 200-2390 35450 130033 1 12HCH5
201811 5 700-2450 35550 130033 1 12HCH5
201811 51100-2500 35630 130033 1 12HCH5
